"session_id","trial_number"
1518,180
1520,180
1521,180
1522,180
1523,180
1524,180
1525,180
1526,180
1527,180
1528,180
1529,180
1530,180
1532,180
1533,180
1534,180
1535,180
1536,180
1537,180
1539,180
1540,180
1542,188
1543,180
1544,180
1545,180
1546,180
1547,177
1548,180
1549,180
1550,180
1551,180
1552,180
1553,180
1554,177
1555,180
1556,180
1557,180
1558,180
1559,180
1560,180
1561,180
1562,180
1563,180
1564,180
1565,180
1566,180
1567,180
1568,180
1569,180
1570,180
1571,180
1573,180
1574,179
1575,170
1576,180
1577,180
1578,180
1579,180
1580,180
1581,180
1582,180
1583,180
1584,180
1585,180
1588,179
1589,180
1590,180
1591,180
1592,180
1593,180
1594,182
1595,180
1596,180
1598,178
1599,179
1600,178
1601,177
1602,180
1603,179
1604,179
1605,180
1606,179
1607,180
1608,180
1609,178
1610,179
1612,178
1613,178
1614,180
1615,178
1616,179
1618,180
1619,180
1620,178
1621,180
1622,178
1623,179
1625,179
1626,180
1627,178
1628,180
1629,180
1630,180
1631,180
1632,180
1633,180
1635,180
1636,180
1637,178
1638,176
1639,179
1640,180
1641,179
1642,179
1643,178
1645,180
1646,180
1647,179
1648,179
1649,180
1650,180
1651,180
1653,179
1654,179
1655,178
1656,178
1657,180
1658,178
1659,179
1660,179
1663,179
1664,179
1666,178
1667,178
1668,179
1669,170
1671,179
1672,177
1673,180
1674,178
1675,179
1676,179
1677,178
1678,179
1679,178
1680,178
1681,178
1682,180
1683,180
1684,179
1685,178
1686,179
1687,179
1688,178
1689,180
1690,179
1691,177
1692,177
1693,180
1694,181
1695,177
1696,178
1697,179
1698,178
1699,180
1700,178
1701,180
1702,181
1703,178
1704,178
1705,180
1706,179
1707,178
1708,180
1709,178
1710,180
1711,179
1712,180
1713,177
1714,179
1715,180
1716,178
1717,180
1718,180
1719,180
1720,180
1721,176
1722,178
1723,180
1724,180
1725,180
1726,180
1727,180
1728,180
1729,180
1730,180
1732,180
1735,180
1736,180
1737,180
1738,180
1740,180
1741,180
1742,180
1743,180
1746,180
1747,179
1748,180
1749,180
1750,180
1754,180
1755,180
1756,180
1758,181
1759,180
1760,180
1761,180
1765,180
1766,180
1767,180
1768,180
1769,180
1770,180
1771,180
1772,180
1773,180
1774,180
1776,180
1777,180
1778,180
1779,180
1780,180
1781,180
1782,180
1783,180
1784,180
1785,180
1787,180
1789,107
1790,180
1792,180
1793,180
1794,180
1795,180
1796,180
1797,180
1798,180
1799,180
1800,180
1804,180
1805,180
1806,180
1808,180
1809,180
1810,180
1811,180
1812,180
1813,180
1814,180
1815,180
1816,181
1817,180
1818,180
1819,180
1820,180
1821,180
1823,180
1824,180
1827,180
1828,180
1829,180
1830,180
1831,180
1832,180
1833,180
1834,180
1836,180
1837,180
1838,180
1839,180
1840,180
1841,180
1842,180
1843,180
1844,180
1845,180
1846,180
1847,180
1850,180
1851,180
1856,180
1857,180
1859,180
1860,180
1861,180
1862,180
1863,180
1865,180
1866,180
1867,180
1868,180
1869,180
1870,180
1872,180
